CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
91885E31,42.6598,-1.9918
96549,40.3298,-3.37
12510B,41.216,1.1519
100560421,37.9542,-1.1931
83913HJ,43.621,6.98
88579_00AR,41.0233,-8.5287
100518968,43.4234,-5.8102
100579166,40.9825,14.2742
100585561,41.0115,-6.4677
100585346,41.752,0.7671
100585577,38.7116,-9.2839
100001016,38.666,-4.0485
100530359,42.6288,2.7648
100523486,41.7257,0.5919
100568154,43.2294,-8.358
100583890,39.5087,-1.3034
84789,49.0742,4.8864
100581850,37.7915,-1.357
82710,40.6894,-8.4797
24839992-RUTA1-20,41.3664,2.1646
100573051,39.4751,-0.6532
100556591,37.9273,-3.4482
83903BRU,47.4305,1.4442
24839950-RUTA1-20,41.3664,2.1646
100536380,40.9591,-4.2064
91443A,45.2518,4.2587
13112,41.3584,-1.6213
10374,41.2127,1.1617
100547122,43.883,10.9166
100562982,43.6299,1.424
24840764-RUTA1-20,41.3664,2.1646
100555282,42.4069,-4.3572
100530969,43.4769,-7.3
100525368,42.6463,-8.8947
89457A,41.8232,-8.4384
100537193,42.6608,-8.1124
100000007,43.3502,-8.4399
100518672,38.1806,-0.8696
91295GB,52.3681,-2.2614
88902INT,48.9975,2.6571
85008,41.0223,-8.6138
24840776-RUTA1-20,41.3664,2.1646
100579880,38.0479,-1.9616
100537543,39.3404,-0.6145
100580147,42.9154,-3.5831
100579306,43.294,-1.8654
24840775-RUTA1-20,41.3664,2.1646
100551266,43.4207,-7.8548
100538634,43.2929,-2.9321
24840365-RUTA1-20,41.3664,2.1646
100547653,45.1345,1.4874
100585672,43.0293,-7.7914
100585681,42.5711,-6.8109
100585683,42.7356,-1.6305
100578308,40.6188,-4.6378
100573900,42.3164,-7.957
12889,42.0271,2.2337
88602,45.2498,4.3588
85293C,50.7292,12.9092
13110_00MA,38.7064,16.1923
100532632,39.4449,-2.0404
100543438,39.8929,-4.8819
100548100,41.5498,2.2409
86917,51.2727,16.7095
24840750-RUTA1-20,41.3664,2.1646
100539751,38.984,-0.5507
88892A,43.3812,5.0703
89780B,48.8108,-0.4989
88869P44,41.2608,-8.6421
24840760-RUTA1-20,41.3664,2.1646
100547806,40.3719,-3.7262
100582333,43.5397,-6.7232
11528,40.481,-3.3891
10411ENV,41.5996,2.0928
88869AB,41.3604,-8.3333
12510A,41.216,1.1519
13091,50.8584,3.5839
11487SPB3,39.4948,-0.6842
100519992,43.4074,-3.8642
89397,40.6334,14.8511
92183_00OU,51.5796,4.457
92475ES,41.2152,1.2072
40095,42.4369,-2.9551
91199PP,51.0438,7.6982
85293B,48.7142,9.5184
92494,51.8061,-0.0258
88869AB,41.374,-8.3339
100518226,35.2891,-2.9378
90262,45.4834,4.5142
100515938,39.4824,-6.4126
100585731,43.9366,1.3156
100519747,37.2336,-3.6936
100568736,39.6263,3.064
12035E08,41.4592,2.2581
87360PV,45.3477,8.8268
91513F69,45.9924,4.7388
87107C,46.2068,5.2122
91199P,52.3139,7.3594
20180,40.7334,-3.1894
CDE67205,49.5418,8.4041
90628I25,45.2728,10.0932
88869PT2,39.7495,-8.8659
88869AO,41.3219,-8.5645
89207A,38.9175,-8.848
100515856,42.4586,-2.4002
92559,45.1351,5.3205
100568001,38.8242,-9.0966
100585742,42.2781,-8.8477
83921,46.2421,5.6294
20001,40.5649,-3.2681
100551213,45.6816,-0.1734
100532899,40.5688,-3.6028
100585158,41.7384,0.5596
100518535,42.1925,0.3373
1420,40.2619,-3.7368
100562782,38.7756,-9.1354
100585785,38.0944,-6.277
100515860,39.5578,-0.4934
92150,46.2842,13.5164
12775,38.3245,-0.7552
89363A,51.9317,14.7
1000,37.0574,-95.7119
100585576,43.4167,-3.8724
1000,38.692,-4.1093
100551228,43.4777,-0.7474
100572685,39.9852,-0.0369
20047,37.3279,-5.8162
100582630,40.7327,-4.7387
12410,39.5776,-0.3424
100536741,42.4754,-7.2733
100549397,42.8752,-8.5505
90957,45.3779,9.1832
83913_00GR,43.6276,6.9393
88902NU,44.3479,1.9687
88610,40.7386,-8.0898
80341,41.0283,-8.5826
88869AVE,40.4855,-8.4447
100564383,39.9135,-8.4363
100518532,42.0343,0.1226
100548197,43.2558,-2.4111
100516612,42.7886,-1.6142
100575289,42.9027,-8.502
100532668,38.663,-4.1277
100581226,40.7963,-5.8595
100585805,41.1055,1.1224
100536312,41.5828,-4.6737
100585815,37.2453,-1.9173
91817A,40.7735,-8.5951
1214,40.6097,-7.7268
89044,40.2661,-8.5084
83924,45.2526,4.2503
100559187,40.1163,-3.8338
100573098,42.3404,-3.7059
24845487-RUTA1-20,41.3664,2.1646
100583322,36.7747,-2.807
12976_00FR,50.0907,8.5934
100571185,42.9265,-8.03
100542256,40.2139,-4.0874
100537163,40.6938,-6.2985
100519042,42.6313,-5.5986
30527,38.21,-0.5753
89381,53.4433,-1.9489
88442,50.6773,6.0771
13009,44.2876,23.9035
12484E08,41.518,2.2016
13119,45.2518,4.2587
100544566,41.1731,-8.5117
100544565,41.197,-8.3095
100584582,43.2167,-2.8352
100537383,41.8984,-0.7895
100582162,40.7971,-4.2519
89499_00AU,43.2861,5.5973
91199D50,50.876,6.9981
12641E31,42.8283,-1.5424
92352MBC,45.3015,10.3195
C115205,41.1103,1.2003
89792,47.0832,-1.2571
91358_01AL,50.1025,9.1009
12774E15,41.0801,1.1577
11442,41.8091,2.8599
88869P38,40.6678,-8.5992
100585840,41.4914,2.0959
100571537,42.9137,-8.0158
100585798,43.3034,-7.3212
80411,40.9657,-8.6164
C2001950,40.3249,-3.8643
100575583,44.5354,3.5053
C29205,41.1046,1.2351
100571633,41.5025,-5.7479
100519536,42.4654,-8.738
100585796,46.8062,-0.1471
12603,38.8576,-6.0853
82965BA,39.7517,-8.8636
100583143,36.6398,-4.5633
100581152,39.5109,-5.4393
91463BE,50.6591,5.5065
84935C,41.3237,-8.4876
100552103,40.7808,-8.4923
88902BL,49.1678,1.3788
100585816,37.7706,-1.2181
100582010,38.8464,-0.6478
24844661-RUTA1-20,41.3664,2.1646
100536599,39.0403,-5.8769
100547382,45.6816,-0.1734
100519000,42.9098,-3.5832
10411TD,40.4562,-3.4638
88902AO,48.461,-2.0657
30055B,38.5437,-1.7033
12595_00MO,41.6258,2.2919
100570580,39.4732,-0.4795
C16205,41.1658,1.1828
100521616,37.6168,-0.8801
100576191,41.7097,-1.1934
10411MF,37.5722,-6.7559
30463,38.9146,-0.5506
100583140,40.8561,-1.9124
100569930,38.8989,-6.3419
100519748,37.9316,-4.675
11487SPB3,39.4783,-0.6556
100579255,41.7722,-2.5049
100579613,41.6693,-3.7758
100525980,38.9005,-7.0164
100584510,39.1973,-3.8182
100570885,41.015,-2.5763
100519044,42.4589,-6.0635
100578521,39.405,-3.0701
13040,51.2907,22.7034
100578699,42.9911,-4.1406
100565062,40.3301,-3.3698
100537770,41.9399,-4.5014
1848,37.5737,-0.9319
100554749,39.9107,-4.6788
100578820,40.4972,0.4284
100562944,44.8516,-0.6758
100546064,43.3967,-5.8022
89390_01UN,49.5042,11.4918
100543333,41.9473,2.3827
100578695,42.2939,-4.7894
100577700,41.7707,-0.8221
100515930,41.5433,2.0369
100549484,39.8922,-5.5431
100585496,37.3634,-2.2411
12624E08,41.5536,1.8457
91199D32,52.1509,8.4635
11361,40.282,-3.7735
12559PRO,42.9098,-8.5159
88464,48.2371,9.6463
100516864,41.6292,2.2838
100501084,47.6644,-2.0752
100574579,43.2754,-6.3102
100585795,39.837,-7.2627
100516943,38.0354,-1.1829
100518555,41.656,-0.878
100517228,40.8517,-8.3895
100542161,37.6014,-4.0968
1407,36.1813,-5.4357
100566598,39.4044,-3.0794
100579296,43.3092,-3.079
100577487,43.1345,-7.3782
88902NEO,48.4815,-2.6917
100550733,40.1816,-4.1336
12640T,42.038,-1.5898
100581761,42.7607,2.8124
100585890,42.1604,-7.6108
84341,49.1399,-1.0114
12633,38.6209,-1.1027
100518965,43.5107,-5.8685
100518224,35.8894,-5.3213
100585846,42.2315,-5.6576
09,41.1082,1.194
100515986,41.8847,-0.7848
90539,43.5354,3.4549
100515920,38.0328,-1.1885
24847863-RUTA1-20,41.3664,2.1646
100550701,40.3869,-3.4824
100554511,44.8946,-0.5002
C73205,43.3323,-3.0526
100538308,38.9715,-5.8639
100583881,40.7387,-4.4663
30068,38.3398,-0.5602
100578178,40.7301,-4.7373
100585907,36.6157,-5.0988
100546277,38.5247,-8.8942
100000006,41.1849,1.21
100516857,37.4645,-3.8767
100555478,42.8917,-2.1656
100534201,38.32,-0.5165
24847864-RUTA1-20,41.3664,2.1646
100546673,38.0433,-1.6736
100565668,41.6683,2.2263
100529950,43.6575,0.6272
89731,43.9757,4.2139
92189L,48.4647,10.8551
12395EB,41.6324,-0.7531
89398,47.5155,0.1286
100518548,41.3379,-1.6555
100570093,43.5944,-5.9378
100518965,43.5128,-5.8668
100580975,37.2039,-3.652
100584690,40.6154,-4.6358
100544225,38.6879,-9.3378
87237,39.7993,-8.9261
89616,44.4834,10.6887
24848253-RUTA1-20,41.3664,2.1646
100583870,43.5442,-5.719
100577465,39.3491,-3.7901
100583826,43.559,-5.9215
87029,40.875,-8.6767
100551935,43.3951,3.4206
100585689,39.0148,-0.5789
100574579,43.2863,-6.297
100579570,41.7882,-1.9804
100585390,38.3444,-0.4842
100515916,38.0679,-1.2013
100551913,43.5369,1.3442
100585926,41.2272,-5.3184
100585807,40.6835,-3.7944
92154,43.8414,10.8626
100001418,40.5283,-3.392
100575000,41.7115,1.8449
100551062,42.111,-1.7983
92461_01BA,52.3203,6.6573
100570901,37.2375,-4.5472
200105341,35.8869,-5.3338
100500100,41.119,1.1935
100533164,43.5878,-5.9357
100584300,39.0117,-4.3804
100585941,39.0329,-0.5884
100583817,42.9067,-7.9897
30115,37.608,-1.7631
88902_01AV,48.0789,-1.7277
10411AL,38.896,-0.4968
100585908,40.3305,-5.408
13006,42.6302,-5.563
91783A,52.2991,8.9559
100541634,40.3762,-3.6375
100541689,43.782,-0.6388
24849500-RUTA1-20,41.3664,2.1646
100518533,42.1398,-0.4102
100585808,43.5495,-7.4398
100516938,40.412,-3.4637
100537049,43.782,-0.6388
100566113,39.9141,-7.4611
100585945,39.9727,-5.6028
12797A,43.4217,-5.8258
88902PL,48.4366,-2.8164
88869_01AV,40.6405,-8.6538
100571422,37.2845,-5.6774
100572667,38.8003,-1.74
100572780,42.3809,-3.5521
100575270,49.3179,1.0593
100533116,37.4257,-5.982
12785,39.957,-0.0765
2916446,40.0757,-3.8807
24848482-RUTA1-20,41.3664,2.1646
100542294,43.6575,0.6272
100577904,41.9399,-7.4408
10411Z4,41.6657,-0.808
92890VIC,38.7623,-0.6108
88587,41.0539,-8.5817
100515897,43.2746,-1.6912
24850095-RUTA1-20,41.3664,2.1646
100567369,41.6389,2.409
1802,37.5727,-0.9235
200103331,43.5559,-5.9205
89520,43.5397,11.0287
10059_00CO,41.3458,2.035
10411SA,41.5811,2.0883
12865_00MA,43.4157,-3.8425
24850640-RUTA1-20,41.3664,2.1646
100500274,37.5998,-6.2285
100570360,44.7575,7.3825
100524411,39.4544,-0.4066
12744,38.3508,-0.5506
88094,45.746,9.2619
100585981,42.4178,-6.9642
100518534,42.5718,-0.5515
100554356,43.3939,5.236
100585946,46.6704,-0.165
100565087,45.8281,1.2823
80302B,50.6292,6.0337
2250,37.9835,-8.8324
89676_02LH,48.1296,7.355
100532673,37.59,-0.9978
100570549,50.7027,2.9868
200103331,43.5758,-5.9397
1403,43.5719,-5.9284
100582247,41.855,1.9708
100574816,51.0243,3.6933
100585995,37.1733,-4.8567
24850982-RUTA1-20,41.3664,2.1646
20365AGC,41.8939,-1.7126
100546815,43.5604,-5.914
100583806,38.4846,-0.7707
100582961,40.9156,-5.6657
100584127,42.3491,-7.9216
100585864,39.3748,-7.3602
100519043,42.567,-6.6079
100553554,43.3738,-4.464
12603,38.8564,-6.0905
100518226,35.2913,-2.9451
100581561,40.7258,-6.3387
100547188,41.258,1.1619
91199BO,52.2135,8.7677
100547150,41.1693,1.4674
12515,40.9909,0.9237
100583026,39.366,-3.4953
10411UT,41.7065,-1.0066
12774E15,41.0975,1.1748
100585957,40.0498,-8.8148
02,38.6858,-4.1124
100550080,40.5858,0.4521
100571484,42.7151,-7.7641
10411SPA,40.2665,-3.8475
100566048,41.0232,-0.0989
84315A,43.9795,11.2201
100551332,42.7506,2.808
100568125,42.5191,-0.3661
100581053,40.767,-5.4973
100581063,39.7845,-5.4773
83921_04RO,46.2421,5.6294
90456,51.8254,9.4573
30527,38.2096,-0.5739
100581063,39.7842,-5.4771
20356,41.6992,-4.8412
100001429,37.6248,-0.9592
100527785,43.3771,-5.7734
100586002,43.5708,-5.9224
100550776,43.3229,-8.4872
100543645,40.8997,14.5722
100551233,44.0996,3.0813
20365B,42.2948,-7.8728
100547378,44.3952,2.4647
100585141,43.4922,1.3377
83003A,45.6902,8.9083
10411MT,41.5269,2.4236
1418,40.4951,-3.4167
70009F,38.823,-0.5494
100532829,41.6015,-4.7192
100572634,42.888,-7.6976
100580188,38.293,-0.5884
100572406,43.1449,6.039
100546556,43.1112,-9.0329
100552744,43.1426,-2.6487
100560482,41.0909,-8.5301
100522653,43.3232,-5.8748
100563865,41.8103,-8.5931
12798,37.4475,-3.914
82965MA,38.9407,-9.2465
13046_01RI,44.9264,9.0053
100567955,43.3243,-5.8699
100532778,43.5648,-5.7183
100583363,39.7503,-0.2272
100500279,40.2459,-3.6865
200104111,37.3608,-5.9939
1822,51.3387,6.6787
100578251,41.7719,-2.4955
100566170,42.297,-7.8745
100550388,43.116,1.6108
90164,45.8634,11.0039
92319,35.7358,-5.8908
100560136,43.5496,-5.6932
100585146,43.5354,1.3639
24852069-RUTA1-20,41.3664,2.1646
100583662,43.3128,-8.282
100544217,40.9515,-7.8876
100519104,38.9957,-3.1767
100568637,42.3764,-1.9434
100532899,41.4092,-3.6554
12719,36.7959,-2.6917
200101111,36.5294,-6.29
100580937,40.7084,-4.0676
86304FRI,50.2575,8.6502
100586076,40.7097,0.5395
12768B,41.5161,1.8994
100586036,46.7626,1.6775
100586023,37.7298,-1.7128
92286,39.6053,-8.8506
100515797,42.3848,-2.0565
100583681,42.8798,-8.3226
100567949,43.3243,-5.8699
100575608,40.5207,-5.6711
100549650,44.5095,1.3824
100565063,46.4789,0.1805
100581151,41.6769,-3.7142
92539ORI,42.8476,-1.6242
100584550,49.317,1.0738
100563846,46.032,13.2406
24852070-RUTA1-20,41.3664,2.1646
100586085,40.4992,0.4234
100564390,42.3957,-3.5575
83921_06VI,46.2421,5.6294
100515897,43.2786,-1.7003
100562782,38.8028,-9.1393
100537797,46.1542,-1.1114
100552431,44.5122,1.3756
100569673,38.9054,-3.6669
11157_00SU,41.6398,2.4015
88942,48.3838,2.9437
100585571,42.5985,-4.3388
24854210-RUTA1-20,41.3664,2.1646
100568523,43.5624,-7.6421
12405,42.5968,-5.6013
100576312,39.006,-3.8913
100525408,43.5628,-8.015
100554186,44.9197,-0.5433
100522368,42.5421,-6.6728
100564047,38.8719,-1.8147
10411WA,41.5942,1.9168
100586062,36.9057,-6.1165
100571101,45.4079,10.9692
82965VIZ,41.3604,-8.3333
100529301,43.6856,-7.5124
100544885,42.4328,-3.6826
10029,41.5271,2.0334
100585645,42.3599,-8.6337
100551365,37.6798,-5.7678
100572015,40.5949,-3.5485
100515900,39.012,-1.8828
100570125,43.5192,-6.7228
100586075,42.1529,-8.6319
88902FON,49.0549,2.1328
86063MI,45.5667,8.8995
100549082,42.3408,-7.8261
100576942,46.2282,14.3533
100586117,42.0563,-8.531
100517240,41.3113,-8.6078
91141A,52.132,4.6173
90639A,51.2416,5.2553
100540801,39.4586,-8.2518
24855596-RUTA1-20,41.3664,2.1646
100580707,45.6074,8.6366
100584910,53.3026,14.9776
10294,41.1863,1.458
100585868,43.0293,-7.7914
87624A,45.1659,9.0622
100527241,42.9134,-8.5166
100586127,38.3487,-0.5604
12941,49.2362,4.0642
89799,45.5833,9.5762
100500161,41.1636,1.1932
92112A,50.4133,4.0169
100585870,47.3224,-2.1608
83804,41.3369,-8.5737
10411_05VA,41.3962,2.152
12857,41.4899,-5.0124
100548154,40.4131,-3.5809
10411DUR,36.9991,-3.577
100585896,36.6779,-4.4916
100580018,39.3746,-0.4037
100583617,40.513,-3.7403
100572501,46.2355,0.1915
100585360,46.3269,2.9821
100581329,43.5487,-7.9577
100586142,41.649,-4.7595
10285A,41.5956,1.9145
12589,39.7215,-3.81
88150,45.7313,9.5842
100572056,38.8249,-9.3633
24856275-RUTA1-20,41.3664,2.1646
100537383,41.8884,-0.7867
100573942,37.8723,-6.7875
24855339-RUTA1-20,41.3664,2.1646
100578261,43.4903,-8.2252
100586074,37.7827,-6.5673
100569071,40.5117,-3.7554
12177,38.8476,-0.1136
70009COM,40.1704,-3.6663
90474CAI,40.9626,14.3073
12389,43.3771,-5.7734
86049,49.6767,4.9768
100546996,37.3149,-8.797
100583682,43.2523,-6.4915
100586170,40.3016,-3.506
89499_00SE,45.3417,5.3496
90939JW,50.189,19.2567
40469,42.7266,-3.005
12889,42.0265,2.2347
100500040,41.3377,2.1276
40086,42.3074,-1.9673
100586118,40.3206,-8.5656
24853758-RUTA1-20,41.3664,2.1646
24855610-RUTA1-20,41.3664,2.1646
24853933-RUTA1-20,41.3664,2.1646
100548401,45.6839,0.1733
100575809,42.057,-6.5918
100570258,41.1855,-8.2917
92334,45.7542,9.4311
89676_03SU,47.7592,2.3684
100568563,41.6165,-1.0665
100528949,37.8977,-6.5671
92323,51.0048,3.7238
24856085-RUTA1-20,41.3664,2.1646
24855992-RUTA1-20,41.3664,2.1646
13040,51.2908,22.7034
24858015-RUTA1-20,41.3664,2.1646
13057_00FO,45.6343,11.7386
100579026,43.4379,4.9457
100500787,43.2281,-2.8546
100584340,43.3311,-4.0986
100001008,43.4202,-3.7712
100571350,40.2248,-0.931
100586225,37.2337,-3.6936
100546980,45.7306,-0.6493
100564205,44.8511,-0.6759
89386,53.3925,-0.7434
80619ROD,40.5762,-6.5622
100567982,43.5456,-6.7549
100582234,41.7543,-2.5452
100575622,41.8341,-1.5328
24858037-RUTA1-20,41.3664,2.1646
100586231,41.9367,-2.0279
100550672,38.9443,-0.4019
90479I28,45.6852,8.6092
100586240,40.0156,-0.0398
100547378,44.3949,2.4645
12306,40.7068,0.5802
12819,41.4237,2.2002
89713_00BE,46.2418,5.6401
100581875,43.3601,-4.0848
100572800,45.743,3.1666
100500494,39.5054,-0.5015
20167A,43.2263,-8.6763
91022ALC,51.6044,-0.0518
10215B,41.5397,2.1661
100541185,41.3492,-7.6854
100566113,40.9104,-8.5728
100538545,41.4814,2.0252
100525402,43.6855,-7.5135
83886,49.5914,2.9936
100586209,42.1386,-1.7036
100579686,42.7636,-8.0161
24855644-RUTA1-20,41.3664,2.1646
92012,50.7325,10.8146
91913ABC,45.4761,8.8672
40281,42.8237,-1.5595
10508,41.5697,2.3929
100515926,37.4065,-5.9566
100563548,41.258,1.1648
24855548-RUTA1-20,41.3664,2.1646
10287A,41.3972,1.1029
83883,50.4796,2.6843
100583765,40.524,-3.6575
100516092,40.3483,-3.7312
24859101-RUTA1-20,41.3664,2.1646
82996,45.3266,10.128
82965AC,40.4802,-8.4153
88453,49.2443,11.0927
100581802,37.8325,-6.3367
89811,48.0392,-2.9468
100517316,41.1078,1.2057
100586257,39.7013,-0.7428
200103911,43.4539,-3.8123
100586256,40.3866,-7.94
100001442,35.896,-5.3316
100540904,39.8053,-8.0989
88935CHR,46.2658,5.6552
84808D76,48.8878,8.304
84052DON,53.5447,-1.1013
88869E,39.7488,-8.9181
100586157,37.7706,-1.2181
100540520,41.498,-7.6909
100555650,42.5685,-2.1917
100543111,41.573,2.245
30108,39.5204,-0.468
100566612,41.0726,-4.7285
100567145,43.6863,-7.8536
90038,47.3206,-1.3782
91199_00HA,52.0224,8.5349
12426AL,38.6091,-0.5968
100586179,42.309,-3.7004
100540164,39.7017,-8.9507
100549698,38.0261,-1.2656
100586241,39.3504,-0.6333
100578851,38.8612,-6.6237
24859171-RUTA1-20,41.3664,2.1646
100564443,42.8921,-7.2544
100549526,40.3418,-1.1137
30058,38.4121,-0.5336
92443,54.9677,-2.4588
82965TR,41.3219,-8.5645
11645_00CA,38.2829,-3.603
100583059,37.6764,-1.6996
88071DE,48.8237,9.1082
100566978,49.19,3.3259
100516338,41.827,2.8891
100551783,43.3466,-8.2065
12143,37.6949,-6.6018
89780B,48.7947,-0.5074
40074A,42.9165,-2.6535
88869DA,39.108,-9.3111
91980,49.8588,8.6315
100570613,39.0572,-0.5493
100515797,42.3415,-2.0845
C174205,39.5212,-0.4728
100582571,39.4037,-3.2227
100586247,42.0214,-5.8505
92485,49.1967,7.5593
40037ESS,43.0643,-2.2747
100566604,37.6922,-6.5248
10302,41.6284,2.293
100564650,37.6497,-3.459
100586231,42.6228,-2.8488
92461_00LI,52.3203,6.6573
100568521,43.6562,-7.3638
100585856,40.7959,-0.2134
88807PO,52.3978,19.1681
92249CLI,44.4209,25.9248
100550234,43.0465,-7.5592
24861875-RUTA1-20,41.3664,2.1646
30393,39.5037,-0.4432
100560750,43.5758,-5.9397
30315RO,38.5074,-1.6885
100586205,38.2923,-0.557
100586307,41.6401,-7.2117
86211A,45.7166,8.8788
100583300,39.2737,-0.4631
100553337,40.2921,-3.5132
100574081,41.6751,-3.6975
100586310,38.204,-1.0424
100550206,49.4617,1.0471
200107361,43.5708,-5.9224
100586285,40.1819,-4.1345
100586289,38.9347,-3.9829
100579106,40.7425,-4.469
13116_00KU,47.4689,11.9782
10411_00IR,41.3962,2.152
100518539,41.8325,-1.5179
100586350,42.3637,1.6649
100581207,38.2697,-2.9495
92375,48.8764,7.1816
20878FRA,41.5169,0.3274
100551068,42.6732,-8.6375
100571344,40.3689,-1.145
91320,48.1109,15.5445
12872TE,35.5646,-5.4869
100573491,41.0335,-0.8129
100535925,43.3156,-4.8481
100566730,42.1879,-7.801
100586370,38.0774,-3.191
100586226,39.2108,-3.8333
100586101,36.9908,-2.1199
88869M,39.8189,-8.6926
100521774,39.5029,-2.8731
100586375,41.2681,1.1459
100554024,42.1165,-1.7811
1200,38.8255,-0.5548
100572669,39.7524,-0.2229
13175,36.5177,-6.2333
91964UFA,47.1761,8.1032
100518759,41.3335,2.1294
100574977,41.1092,1.1508
100586366,40.297,-6.7179
100527419,-34.0958,-59.0242
10411LUC,37.4147,-4.5055
10248,41.7407,-0.8469
12893,41.3132,1.263
100522538,37.401,-5.9664
100539785,40.6248,-4.6275
100569118,37.5733,-0.9119
89089,52.6973,5.2787
20575,41.791,2.5858
90474VA,41.5792,-4.6812
13176_00RI,42.7686,2.8722
100578786,42.4345,-5.3722
100571152,42.6156,-6.4175
100500184,38.8248,-0.547
88902F35,48.3559,-1.1857
91783,52.3009,8.9546
13176,50.629,5.8794
13146_00BR,51.4066,8.5982
100581790,50.0787,22.2837
100000007,43.3504,-8.4522
100515980,43.3112,-2.4599
100544353,37.8472,-3.7359
100586363,41.0255,-5.8873
100542941,43.2643,-2.0083
100585302,43.4127,-6.1573
80619A,51.0104,3.8596
11604B,41.3362,2.1097
91570A,46.2016,6.2471
92039A,43.5003,13.5328
89046,49.2076,2.0538
96549,40.3295,-3.3737
85026,41.0573,-8.6267
100584150,43.2996,-7.6758
90849,46.2859,5.3419
100559425,41.4922,-6.8685
100572047,41.4971,2.0349
100583540,42.4404,-2.3053
30152,38.0705,-1.2205
100583665,42.6192,-6.5716
100586387,37.6797,-5.7679
100586377,37.8213,-3.3702
100586385,41.7061,-6.8055
92144FRA,50.4943,2.498
12590GR,37.362,-3.2811
86178A,53.1237,9.3659
88869ST,39.0284,-8.98
100537320,41.2974,-3.749
100500152,37.2209,-6.9487
100516954,41.5415,2.0385
100571423,40.7086,-6.7953
100517353,42.7173,-2.9833
100577998,38.3473,-0.769
100578436,41.7513,-2.5445
20365Z,41.8939,-1.7126
100516079,41.8068,2.7532
10411_02AL,41.3962,2.152
13161,52.7088,-1.778
100579308,41.4785,1.9904
83574,45.7745,11.8022
100529839,44.8482,-0.6793
12886_00VI,42.8472,-2.7296
88862,42.8593,-2.716
13042,40.8737,-8.4863
91199_03SC,52.0224,8.5349
100586255,36.7894,-2.7579
12994,34.3059,-6.3776
89390D02,51.1954,14.3431
100565415,42.6795,-7.6485
1420,40.2498,-3.7203
12273,38.0164,-3.3605
13153_00BO,45.9171,14.368
83194BS,45.3351,10.0867
100586359,51.2725,9.5139
100537977,45.7486,-0.635
100526332,43.5501,-5.8348
100550983,38.9275,-6.3883
82609B,53.1611,8.2496
83913MAN,43.6961,6.9765
13182,48.038,-2.9473
100548576,43.4379,4.9457
100554895,38.2512,-2.8884
100574456,41.9545,2.2763
91199_00NI,52.0224,8.5349
20186ARG,40.319,-3.4633
88437A,41.1686,14.1535
100563706,43.5192,-6.7228
100557922,41.8138,-4.5903
87179,45.6982,10.3708
90945A,40.5362,-7.2458
100574227,40.7051,-6.404
100568080,41.8314,-4.6169
100572942,41.3481,-8.4003
100500040,41.3393,2.1229
100564919,37.3081,-6.8733
100580272,42.6473,-8.8827
100586436,37.5387,-6.1386
100551889,43.2565,-0.8738
100550146,36.4679,-5.9294
80962A62,50.5148,2.4659
100533164,43.5886,-5.941
100549397,42.9125,-8.5152
100577480,40.61,-4.0536
100551925,42.8748,-2.6571
10411CAN,37.9967,-3.4676
200105356,0.0,0.0
100001432,38.6779,-9.197
100532726,41.1849,1.21
100571070,39.4889,-6.4217
11319,41.517,2.1994
100536082,41.1517,-8.6023
80619_00AN,62.5674,7.6872
85865FR,43.78,5.01
24870278-RUTA1-20,41.3664,2.1646
100569725,42.8055,-5.6438
100579690,41.1922,-8.5903
100582064,40.1721,-3.6665
100578364,40.9515,-5.7291
100580874,43.2665,-8.2265
100518552,41.2268,-0.0305
100586446,40.4585,-4.4865
80407,51.2168,5.2984
82626,51.3619,4.5058
100570341,43.4157,-3.8425
80619_01TA,59.4249,24.8252
100539226,42.6719,-1.6556
100558971,39.9781,-0.1388
100532781,43.5758,-5.9397
100522653,43.3237,-5.8771
12886_00VI,42.8502,-2.7252
100585885,48.5047,-2.735
100585921,41.6514,-2.8912
100559310,42.1601,-8.6221
10411_01AL,41.3962,2.152
12426,41.9859,2.3112
100567973,43.4357,-5.014
11470B,42.3035,-3.7036
83737,39.1121,-8.8385
100549511,36.9746,-5.037
12156BA,41.6497,2.4126
24866019-RUTA1-20,41.6164,2.2957
24870493-RUTA1-20,41.3664,2.1646
100583930,41.324,-7.2038
100586481,41.0757,-4.7346
88603,41.2005,-8.3259
100001001,42.0048,-4.5426
100525975,37.3981,-1.9392
100586446,40.4668,-4.4837
89719SWA,52.3912,-0.0998
83913F,43.6413,6.9561
88862_00AL,42.8593,-2.716
100550335,39.5507,-0.3458
100549135,39.5029,-2.8731
100516864,41.6322,2.2841
100568136,43.0994,-8.9167
24871691-RUTA1-20,41.3664,2.1646
100572949,40.6504,-3.1808
100571156,42.1673,-1.692
100548579,39.6502,-0.2358
100575947,41.6837,-1.0268
30110,38.1274,-0.8633
12584A,41.532,2.2253
11488A,37.9534,-1.184
12127,38.9146,-0.5506
100568299,39.7284,-8.8355
100516892,41.5273,2.1433
100586432,38.7985,-2.3835
92340MEX,50.6071,18.9657
100586520,42.3113,-7.2354
11001,41.568,2.2436
12866IN,42.2099,2.4733
100532671,41.1729,1.2251
49256,40.3979,-3.6842
91296,45.4181,10.0824
24871982-RUTA1-20,41.3664,2.1646
24871983-RUTA1-20,41.3664,2.1646
100565357,43.2076,-6.9884
100516673,39.5629,-0.6336
89248,49.7809,0.6532
100586022,37.4128,-1.5785
100562913,42.3247,-7.863
C09205,41.1082,1.194
