CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
89457A,41.8225,-8.4392
100500099,41.4772,2.0293
100584235,39.6097,-8.6843
89676SSM,48.2511,6.9591
100578257,39.3296,-3.0832
1000,38.6813,-4.0553
100582666,40.3934,-8.0881
89239A,42.7798,2.7986
100571355,37.1469,-7.8352
89799BS,45.5732,10.0155
12328A,41.7844,1.8937
12143,37.6947,-6.6025
87440A,51.1222,9.5399
83913I,43.6507,6.7986
89176,45.6403,9.2761
84170,40.8489,-8.4149
10736BAR,41.5649,2.2798
100572706,39.6085,-0.3177
100544598,39.0561,-9.0062
100544568,39.6405,-8.7872
100544225,38.7261,-9.3335
90011,45.6659,9.0183
12455,37.8577,-4.892
12274UR,42.8908,-2.1356
100531820,41.7099,1.8496
30115,39.4892,-0.478
100515853,41.4435,2.2025
83913,43.6276,6.9393
88871,41.3211,-8.7364
89499_00AU,45.3417,5.3496
11599,37.3397,-5.8418
30112,39.5382,-0.3707
100545228,37.637,-7.9844
100516864,41.6316,2.2831
100574606,41.2764,1.1802
88902GR,45.8475,3.1673
40076,42.728,-3.003
100537544,38.3409,-0.6084
100500094,41.4793,1.9831
12791,37.345,-5.8613
20282,40.1096,-3.6535
20055,37.3974,-3.9669
100526398,41.1687,1.1261
627462,49.4368,1.0598
100531817,41.9922,1.5371
200101131,36.1408,-5.4562
100575257,38.0168,-8.6891
100579081,42.0157,2.8285
100579543,37.3985,-6.9648
100579546,37.7494,-3.9175
100572692,38.6538,-8.2651
100544202,39.6583,-8.8241
88902AA,41.2033,-77.1945
20061E,40.2663,-3.81
12347E08,41.4443,1.9878
10411BA,41.3301,2.1547
92461,52.3203,6.6573
12344,39.7215,-3.81
100571644,41.6396,1.8985
83913A,43.6507,6.9486
100516613,41.4262,2.2115
12192E28,40.2964,-3.9911
89397,40.6342,14.8496
40043,42.8516,-1.6195
81501,51.0725,4.0467
10335,41.7902,2.7776
20079E,40.3338,-3.3724
88902FAB,48.3148,2.0091
02,38.6835,-4.0875
100572142,39.0053,-0.5643
C74205,39.4471,-0.3348
89153,53.5238,10.2467
10411JOF,41.3322,2.0461
84935A,41.3691,-8.4058
20130,36.6665,-6.1322
12439C,37.4475,-3.914
C03205,41.1966,1.2145
92539EUR,50.6341,5.4757
91650,51.783,4.6213
