CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
24826642-RUTA2-20,45.6368,8.8342
24877758-RUTA2-20,45.6368,8.8342
100539226,42.6719,-1.6556
100565383,42.8349,-1.6136
100583826,43.559,-5.9215
100547499,41.0909,-8.5301
100564020,38.9836,-0.1835
1602,37.0574,-95.7119
100586646,42.6286,2.7655
100560644,40.6684,-4.6851
100515928,40.1224,-3.8059
100567955,43.3243,-5.8699
24878566-RUTA2-20,45.6368,8.8342
24877542-RUTA2-20,45.6368,8.8342
100569559,38.7591,-27.1147
C36205,41.9213,0.1672
24874862-RUTA2-20,45.6368,8.8342
100549397,42.9125,-8.5152
30115,37.608,-1.7631
100578699,42.9911,-4.1406
100586586,36.9206,-6.0771
100554186,44.9197,-0.5433
100552525,38.6562,-8.1869
100529835,43.3951,3.4206
100565415,42.6795,-7.6485
24879827-RUTA2-20,45.6368,8.8342
24879823-RUTA2-20,45.6368,8.8342
24879271-RUTA2-20,45.6368,8.8342
24879490-RUTA2-20,45.6368,8.8342
24880452-RUTA2-20,45.6368,8.8342
24879457-RUTA2-20,45.6368,8.8342
100585060,40.3074,-2.3934
100573098,42.3404,-3.7059
100585921,41.6514,-2.8912
100577730,37.9273,-1.2092
100553321,40.436,-3.8382
100586863,39.0489,-3.5946
100567470,43.7053,-1.0358
100575558,40.8301,-5.2795
100562782,38.7756,-9.1354
100577460,43.3309,-4.0987
12623B,39.7132,-0.3489
24879062-RUTA2-20,45.6368,8.8342
24879448-RUTA2-20,45.6368,8.8342
100549526,40.3418,-1.1137
100557057,42.5176,-7.5132
100586240,40.0156,-0.0398
100516669,37.6264,-1.0312
100532727,38.6884,-4.1079
24880505-RUTA2-20,45.6368,8.8342
24880516-RUTA2-20,45.6368,8.8342
24879933-RUTA2-20,45.6368,8.8342
24881399-RUTA2-20,45.6368,8.8342
100581276,37.235,-6.9464
200104811,43.2654,-2.9351
100500087,41.4722,1.875
100579815,38.9273,-9.1784
100540385,40.5435,-8.5406
100538545,41.4814,2.0252
100517318,41.5683,2.1809
100515787,43.272,-2.0549
100523488,41.7035,0.7061
10411QU,39.5941,-3.0401
100586910,37.3046,-4.9255
24881402-RUTA2-20,45.6368,8.8342
24881403-RUTA2-20,45.6368,8.8342
100582597,41.9517,2.2757
100554781,36.6767,-4.4939
49256,40.3979,-3.6842
100586935,39.5818,-0.4435
74,39.4471,-0.3348
100586976,36.934,-4.1991
100586787,37.3272,-3.8715
100538423,38.3528,-0.606
100565852,38.6635,-27.2294
100586986,38.8852,-3.7372
100563579,38.9041,-9.1914
100533164,43.5886,-5.941
24888843-RUTA2-20,49.5384,8.4106
100552343,43.5165,-8.1569
100527419,37.2251,-3.631
100548446,38.4022,-1.0418
10365_00GR,41.447,1.9728
100562944,44.8516,-0.6758
100566062,39.7888,-6.3725
100543333,41.9473,2.3827
100515865,38.2827,-0.7132
100515986,41.8847,-0.7848
24884016-RUTA2-20,45.6368,8.8342
24888839-RUTA2-20,49.5384,8.4106
100584590,41.6325,-8.7787
100585966,47.7823,-3.3441
100522525,41.6773,-0.9443
100529250,38.9339,1.4172
100582247,41.855,1.9708
100587040,39.7013,-0.7428
24888615-RUTA2-20,45.6368,8.8342
24888726-RUTA2-20,45.6368,8.8342
24884876-RUTA2-20,45.6368,8.8342
100574418,37.4035,-1.5828
11480,39.4657,-0.4696
100579308,41.4785,1.9903
100516338,41.827,2.8891
100567376,39.953,-0.0768
100538416,40.3236,-3.8682
100569667,38.8935,-3.6471
100564670,41.3972,1.8504
100575135,39.4006,-3.1253
100568736,39.6263,3.064
100586832,38.0911,-3.159
100569148,43.4346,-3.8877
24889089-RUTA2-20,45.6368,8.8342
24889779-RUTA2-20,45.6368,8.8342
100572462,47.3352,0.6544
100582155,45.5388,11.8161
100571000,45.6853,8.9109
100578288,43.5604,-5.7003
100500040,41.3393,2.1229
20233A,41.5519,1.8809
11114,41.5846,2.2286
100572859,38.3093,-4.6061
24883321-RUTA2-20,45.6368,8.8342
24889270-RUTA2-20,45.6368,8.8342
24887330-RUTA2-20,45.6368,8.8342
24889457-RUTA2-20,45.6368,8.8342
24889800-RUTA2-20,45.6368,8.8342
24891277-RUTA2-20,48.1443,11.7037
24891226-RUTA2-20,45.6368,8.8342
100584443,38.8303,-9.2747
100577067,41.2352,1.2606
38655,0.0,0.0
100539471,41.6477,0.6969
100516264,40.9676,-5.642
200101111,36.5363,-6.2826
100572648,42.8921,-7.2544
100586381,42.7392,-4.1389
100551365,37.6798,-5.7678
100544202,39.6583,-8.8241
100522532,37.3986,-5.9696
100535891,40.5155,-3.4124
100547560,46.0198,13.2854
100586988,41.7157,-1.028
100566740,38.071,-1.0568
100587021,40.7724,0.6566
100515993,40.4766,-3.4805
100516892,41.5273,2.1433
100518537,41.0434,-0.1293
100587193,39.1088,-3.321
30108,39.5204,-0.468
24888750-RUTA2-20,45.6368,8.8342
24889652-RUTA2-20,45.6368,8.8342
24890140-RUTA2-20,49.5384,8.4106
24890751-RUTA2-20,45.6368,8.8342
24891618-RUTA2-20,45.6368,8.8342
100532946,41.6173,-4.7512
24892194-RUTA2-20,45.6368,8.8342
24892342-RUTA2-20,45.6368,8.8342
24892358-RUTA2-20,45.6368,8.8342
24893598-RUTA2-20,45.6368,8.8342
100575643,36.9679,-3.5391
100500137,38.663,-4.1277
100586751,43.3682,-0.381
100566407,39.1761,-3.0099
100571644,41.6396,1.8985
1262689,53.5428,9.9891
11442,41.8095,2.8604
100540377,41.1206,-7.7341
100567470,43.7053,-1.0359
100552769,38.3631,-0.9992
10736BAR,41.5649,2.2798
24892876-RUTA2-20,45.6368,8.8342
24892372-RUTA2-20,45.6368,8.8342
24892884-RUTA2-20,45.6368,8.8342
24894822-RUTA2-20,45.6368,8.8342
24895189-RUTA2-20,45.6368,8.8342
24891355-RUTA2-20,48.1443,11.7037
100549698,38.0261,-1.2656
100552467,39.812,-7.5267
100567539,40.7108,-7.9532
100573851,41.09,-8.6066
100545116,38.8414,-7.5818
100527785,43.3771,-5.7734
100575451,36.752,-3.2359
100500787,43.2281,-2.8546
100551228,43.4777,-0.7474
10411JOF,41.3322,2.0461
24893718-RUTA2-20,45.6368,8.8342
24897103-RUTA2-20,45.6368,8.8342
100582666,40.3934,-8.0881
1445,46.1721,-1.2129
100515930,41.5433,2.0369
100586205,38.2923,-0.557
100581991,38.2692,-1.4616
100572142,39.0053,-0.5643
100519591,41.528,2.2208
100540863,41.2067,-8.613
100540361,40.1128,-8.4987
C28205,41.3548,1.7298
1209,40.303,-3.4685
100570370,36.7477,-3.0235
100574748,37.2375,-6.9503
100556569,39.5993,-3.0496
100584305,38.2639,-1.4354
100548576,43.4379,4.9457
100563192,39.6393,-8.8292
100587137,41.9707,-5.626
100551101,40.4927,-3.6781
100531812,42.1601,-8.6221
24899262-RUTA2-20,45.6368,8.8342
12851,41.5227,2.4279
24900219-RUTA2-20,45.6368,8.8342
12891MOL,41.5451,2.2089
24899260-RUTA2-20,45.6368,8.8342
24899173-RUTA2-20,45.6368,8.8342
24900393-RUTA2-20,45.6368,8.8342
24899760-RUTA2-20,45.6368,8.8342
24901990-RUTA2-20,45.6368,8.8342
100585731,43.9366,1.3156
100565802,37.4346,-1.4994
100571755,38.3428,-0.612
100587247,48.7486,1.3597
24902007-RUTA2-20,45.6368,8.8342
100001442,35.8934,-5.321
100537971,41.347,2.0964
100515897,43.2746,-1.6912
100533116,37.4257,-5.982
100579422,38.9147,-8.8749
100564919,37.3081,-6.8733
24903561-RUTA2-20,45.6368,8.8342
24903829-RUTA2-20,45.6368,8.8342
24903830-RUTA2-20,45.6368,8.8342
24903842-RUTA2-20,45.6368,8.8342
24905441-RUTA2-20,45.6368,8.8342
24906182-RUTA2-20,49.5384,8.4106
100574131,42.1269,-8.6564
100515979,41.55,2.035
100544458,39.4735,-0.4932
100001439,41.1398,1.2238
20055,37.3974,-3.9669
100534097,43.358,-5.852
100519769,41.7319,1.8361
100516959,43.2632,-2.5203
100584904,38.8493,-9.3726
100500151,41.461,1.9597
100516857,37.4645,-3.8767
100515906,0.0,0.0
24904934-RUTA2-20,45.6368,8.8342
100555253,43.7417,1.3705
10059_00CO,41.3458,2.035
C02205,38.6858,-4.1124
100560482,41.0909,-8.5301
100518965,43.5107,-5.8685
100586485,40.1218,-3.7835
100576942,46.2282,14.3533
100580272,42.6473,-8.8827
100570446,40.344,-3.5331
100567771,37.2873,-1.9396
100586361,39.6513,-8.9854
100500146,42.8646,-2.6538
24904935-RUTA2-20,45.6368,8.8342
24904533-RUTA2-20,45.6368,8.8342
24905880-RUTA2-20,45.6368,8.8342
24904490-RUTA2-20,45.6368,8.8342
24906114-RUTA2-20,45.6368,8.8342
24905990-RUTA2-20,45.6368,8.8342
24905582-RUTA2-20,45.6368,8.8342
24905662-RUTA2-20,45.6368,8.8342
24906821-RUTA2-20,45.6368,8.8342
24906126-RUTA2-20,45.6368,8.8342
24904507-RUTA2-20,48.2262,16.3823
100531777,39.1639,-3.8482
100575031,41.3168,1.2689
100501086,47.0661,-0.8384
100541046,43.5737,-1.0812
100500041,41.7237,-4.6908
100587551,38.2763,-7.7277
100532781,43.5758,-5.9397
100569837,39.3986,-0.3973
100585715,39.0122,-0.567
24907001-RUTA2-20,45.6368,8.8342
24906127-RUTA2-20,45.6368,8.8342
24906117-RUTA2-20,45.6368,8.8342
24908087-RUTA2-20,45.6368,8.8342
24907171-RUTA2-20,45.6368,8.8342
24907879-RUTA2-20,45.6368,8.8342
24909479-RUTA2-20,45.6368,8.8342
24909478-RUTA2-20,45.6368,8.8342
24908810-RUTA2-20,45.6368,8.8342
24907364-RUTA2-20,45.6368,8.8342
24909538-RUTA2-20,45.6368,8.8342
100000053,37.5737,-0.9319
100585896,36.6779,-4.4916
100546478,38.3713,-4.8453
100587408,40.0482,-2.1238
24910374-RUTA2-20,45.6368,8.8342
24910012-RUTA2-20,45.6368,8.8342
100587580,36.501,-6.2669
1411,41.3419,2.1581
100576566,41.9696,2.7718
100574109,41.7874,0.812
100516943,-1.1829,38.0354
100001218,38.9802,-0.5485
10114,41.6238,2.268
2916446,40.0757,-3.8807
100541142,40.3637,-8.466
100575429,42.0213,-3.284
100001217,42.429,-2.2743
95946,53.5358,9.9828
100571101,45.4079,10.9692
100584739,40.5829,-3.5721
24910667-RUTA2-20,45.6368,8.8342
24912868-RUTA2-20,45.6368,8.8342
24913227-RUTA2-20,45.6368,8.8342
24906826-RUTA2-20,45.6368,8.8342
24912192-RUTA2-20,45.6368,8.8342
24911555-RUTA2-20,45.6368,8.8342
24912108-RUTA2-20,45.6368,8.8342
24912867-RUTA2-20,45.6368,8.8342
24911564-RUTA2-20,45.6368,8.8342
24911532-RUTA2-20,45.6368,8.8342
200100411,36.8355,-2.4678
100532789,37.1998,-6.9348
24913577-RUTA2-20,45.6368,8.8342
24912823-RUTA2-20,45.6368,8.8342
100518548,41.3379,-1.6555
100573427,39.6009,-0.3016
100586865,37.2507,-1.9157
100551213,45.6816,-0.1734
100536741,42.4754,-7.2733
100516855,38.7102,-0.663
1404,28.1395,-15.4154
100587638,41.4717,-4.6473
12162,43.2233,-2.0226
1405,28.4919,-16.2215
100518532,42.0343,0.1226
789526,41.8817,-0.7629
100584682,41.6664,-3.7192
100586076,40.7097,0.5395
100582042,41.3264,-4.7059
100531817,41.9922,1.5371
24913690-RUTA2-20,45.6368,8.8342
24916213-RUTA2-20,45.6368,8.8342
24916292-RUTA2-20,45.6368,8.8342
10411BA,41.3301,2.1547
100568477,42.5176,-7.5132
100579697,41.3838,-4.3025
100575704,40.437,-3.5336
24917747-RUTA2-20,45.6368,8.8342
24917415-RUTA2-20,48.2262,16.3823
100586085,40.4992,0.4234
100565257,38.3402,-0.5628
100550557,42.1308,-0.4132
100001410,43.2399,-2.878
100563711,41.0084,-5.6129
100579081,42.0157,2.8285
100580107,41.3436,-4.7223
100581469,42.5411,-8.7028
1000,38.6768,-4.0738
24915301-RUTA2-20,45.6368,8.8342
24917405-RUTA2-20,45.6368,8.8342
100586719,46.8062,-0.1471
100564390,42.3957,-3.5575
100560421,37.9542,-1.1931
100001418,40.5283,-3.3923
100545644,43.558,-5.6998
100569286,41.4656,1.9589
24918492-RUTA2-20,45.6368,8.8342
24919754-RUTA2-20,45.6368,8.8342
24920102-RUTA2-20,45.6368,8.8342
100585974,43.5625,-6.0326
100537320,41.2974,-3.749
100551900,28.4959,-16.2094
100550290,28.454,-16.3022
100545346,42.9142,-8.0125
1000,38.6768,-4.1093
100575065,41.3505,-1.0393
100568878,28.3769,-16.7124
100570226,28.9652,-13.555
1404D,28.1635,-15.4059
100543438,39.8929,-4.8819
100500164,40.0855,-3.87
100536776,28.1579,-15.4223
100579166,40.9825,14.2742
24919920-RUTA2-20,45.6368,8.8342
24920637-RUTA2-20,45.6368,8.8342
24921272-RUTA2-20,45.6368,8.8342
24921697-RUTA2-20,48.1443,11.7037
200102911,36.7251,-4.4002
100576671,41.109,1.2052
100580042,42.4838,-2.8367
100532225,28.489,-13.9729
30307,38.6144,-1.1041
100587672,42.4032,-2.1205
100537751,28.4236,-16.2999
100576116,28.0091,-16.6574
100553337,40.2921,-3.5132
1405D,28.4502,-16.2646
100572638,28.4473,-16.2921
100530912,27.807,-17.9148
100570820,28.2673,-14.1035
20047,37.3406,-5.8241
100578780,43.2874,-2.9678
100585151,28.049,-15.7323
100541203,39.6994,-8.8293
100586095,43.5901,21.3521
100560368,41.3523,-8.5405
100568458,27.9951,-15.389
100525684,28.4845,-16.3434
100573008,27.8629,-15.4144
100564730,28.1208,-15.4482
24927515-RUTA2-20,49.5384,8.4106
100001410,43.2427,-2.8819
100583600,42.6344,-8.1468
100563902,28.0754,-15.4888
100587828,28.6151,-17.7547
100587905,40.3344,-3.8133
100551280,28.1583,-15.4148
100559425,41.4922,-6.8685
100548146,28.5215,-16.3365
100533515,28.456,-16.2654
100587765,51.3748,-2.1384
100577432,27.7671,-15.5928
100568260,28.1026,-15.5288
100576709,28.0117,-15.3871
100525687,28.0477,-16.6601
100541634,40.3765,-3.6365
100587757,38.8298,-0.5035
100532673,37.59,-0.9978
100587824,41.4726,-8.2831
100587690,28.4387,-16.3055
100540520,41.498,-7.6909
24925260-RUTA2-20,45.6368,8.8342
100575945,28.0984,-15.4753
100587906,40.3346,-3.8164
100577540,28.0542,-16.6152
100587937,41.3972,1.8504
100576767,43.4896,-7.6272
100577415,28.4825,-16.3969
100537341,43.946,2.9003
100579296,43.3092,-3.079
100541078,44.899,-0.5251
100541616,27.9235,-15.398
100532899,40.5688,-3.6028
100566048,41.0232,-0.0989
24927790-RUTA2-20,39.5764,2.6542
24927783-RUTA2-20,45.6368,8.8342
100541615,28.3968,-13.8632
100576354,28.5022,-13.8644
100533057,28.0426,-15.4122
100584579,28.0539,-15.7333
100521237,27.9806,-15.3922
100536331,27.9111,-15.5767
100521142,28.5008,-13.8628
100579207,40.5468,-3.2771
100567145,43.6863,-7.8536
200105531,42.6036,-8.9397
100516613,41.4262,2.2115
100571927,28.9733,-13.5358
100571437,28.9217,-13.672
100583836,28.0536,-16.7135
100575176,28.4465,-16.2828
100521345,28.001,-15.4156
100577771,0.0,0.0
12590B43,41.2537,1.6153
100572721,39.6108,-0.3182
100587583,39.2928,-0.4132
24930926-RUTA2-20,45.6368,8.8342
100580291,42.2285,-2.0886
100517240,41.3113,-8.6078
100577727,43.5719,-5.9286
100521299,27.7577,-15.6011
100571055,28.1245,-15.4496
100550641,27.9932,-15.4157
100572800,45.743,3.1666
100575270,49.3155,1.0485
24934852-RUTA2-20,51.3737,4.2633
100539751,38.984,-0.5507
100547378,44.3949,2.4645
100541572,27.8573,-15.4085
24932533-RUTA2-20,45.6368,8.8342
100544210,38.4441,-9.1368
100569536,28.3312,-16.3714
24934853-RUTA2-20,51.3737,4.2633
24929131-RUTA2-20,48.2262,16.3823
100560088,39.519,-8.9074
100587603,36.7913,-2.7477
100587883,42.6614,-8.111
100519738,41.4025,-4.3167
100568111,42.8737,-7.8707
100571985,27.8441,-15.4458
80619PRO,41.7802,1.8505
24932859-RUTA2-20,45.6368,8.8342
24934503-RUTA2-20,45.6368,8.8342
100579320,37.766,-3.7873
100549131,28.9707,-13.5422
100570036,28.3283,-16.4117
100588051,28.1349,-15.4277
24932443-RUTA2-20,48.2262,16.3823
100582365,41.2286,-8.6633
100573587,28.1169,-15.4596
100577631,28.0581,-15.4408
100568734,28.489,-13.9729
100568052,28.1218,-15.4256
100539931,28.4661,-16.3052
100559275,28.3733,-16.7096
10215,41.2482,1.7193
100540703,0.0,0.0
100569467,38.1221,-0.9193
100578418,28.1023,-15.4367
100544210,38.5944,-8.3577
24934218-RUTA2-20,45.6368,8.8342
24934227-RUTA2-20,45.6368,8.8342
24934832-RUTA2-20,45.6368,8.8342
24936248-RUTA2-20,45.6368,8.8342
24936451-RUTA2-20,45.6368,8.8342
100587948,41.8385,12.6543
100563355,38.3249,-0.7684
100516175,39.5128,-0.4667
100518781,40.6363,-4.0052
100500590,41.2702,-6.468
100572261,37.3819,-5.9242
100574177,28.0385,-15.4183
100563345,28.7743,-17.9777
100544646,48.0174,2.7487
100549995,28.4754,-16.4164
100518523,28.0747,-15.4362
200101811,36.749,-3.518
100587305,40.3733,-3.7256
100578040,28.9776,-13.5728
100566343,28.1094,-15.4605
100519465,36.5376,-6.2887
100588187,38.8765,-0.7649
24935705-RUTA2-20,45.6368,8.8342
24936273-RUTA2-20,45.6368,8.8342
100583364,28.4715,-16.2647
100532778,43.5648,-5.7183
100588076,43.0289,-7.7908
100566354,39.6942,-8.0209
100547559,27.9101,-15.5401
100559187,40.1182,-3.8335
100580129,40.8981,-0.3633
100585561,41.0115,-6.4677
100564538,28.0402,-15.4197
100515989,42.2875,-1.9451
100519392,0.0,0.0
100569951,28.1446,-15.6486
100573418,38.3484,-0.7707
12584_00MO,41.5549,2.2723
24941107-RUTA2-20,51.3737,4.2633
24941104-RUTA2-20,51.3737,4.2633
100585701,48.7312,2.4144
100588335,39.9679,-3.415
24937231-RUTA2-20,45.6368,8.8342
100527194,36.1813,-5.4357
24939107-RUTA2-20,45.6368,8.8342
24938675-RUTA2-20,48.2262,16.3823
24939827-RUTA2-20,45.6368,8.8342
24940121-RUTA2-20,45.6368,8.8342
100519000,42.9098,-3.5832
100522532,37.3973,-5.9715
100578928,41.0203,-8.6052
100529301,43.6856,-7.5124
100553208,27.8618,-15.4173
100563740,38.6934,-8.9455
100544389,38.449,-6.384
100568948,28.0581,-15.4408
100573015,28.4962,-13.8804
100574150,41.5307,2.4157
100515980,43.3112,-2.4599
100574253,43.4143,-3.846
100536949,27.752,-15.666
100565466,28.1551,-15.4156
100533001,28.6649,-17.7679
100588342,41.9069,-7.3131
100572501,46.2488,0.1684
100575431,42.3432,-3.6229
1865,36.4949,-6.2677
01,40.3227,-3.8644
100552846,28.4252,-16.4915
100588258,43.9041,10.9194
100577630,28.0581,-15.4408
100588259,46.0328,13.2418
100575842,28.0745,-15.4215
100587036,38.1189,-3.0975
100587088,38.6097,-0.8581
100575488,40.8533,-4.731
100578424,28.6627,-17.7678
100588056,43.3004,-7.3512
100588436,41.0039,-1.0908
100588376,28.0947,-16.5047
100531564,42.8215,-2.7729
100587315,39.6928,-0.5583
100568024,43.344,-6.387
100542616,40.207,-3.6814
100588111,40.4832,-8.0842
10411FED,42.4676,-2.4337
24933125-RUTA2-20,48.2262,16.3823
24938386-RUTA2-20,45.6368,8.8342
24940485-RUTA2-20,45.6368,8.8342
24940474-RUTA2-20,45.6368,8.8342
24941316-RUTA2-20,45.6368,8.8342
24941620-RUTA2-20,45.6368,8.8342
100562341,28.4981,-16.206
100530913,28.0878,-17.1158
100518534,42.5718,-0.5515
100588053,36.1341,-5.4335
100588296,44.76,7.3837
100580374,42.8275,-1.6038
24945905-RUTA2-20,49.4764,8.4305
100551925,42.8748,-2.6571
100570549,50.7027,2.9868
24940918-RUTA2-20,45.6368,8.8342
24941529-RUTA2-20,45.6368,8.8342
24941966-RUTA2-20,45.6368,8.8342
24942328-RUTA2-20,45.6368,8.8342
24942216-RUTA2-20,45.6368,8.8342
100500094,41.4793,1.9831
100500099,41.4772,2.0293
100516231,40.3158,-3.4826
100565672,39.622,-0.3283
100560671,42.8284,-1.6029
100570982,42.5506,-3.3254
100553145,41.5503,2.0124
100515887,42.417,-2.0701
100588517,36.7557,-3.6535
100587532,41.7896,-0.8236
100538308,38.9715,-5.8639
100568136,43.0994,-8.9167
100588338,28.2234,-16.8064
100578421,28.4507,-16.276
100578416,28.4259,-14.013
100578417,27.7688,-15.5859
100588500,42.6228,-2.8488
80619ROD,40.5762,-6.5622
100565586,48.7714,1.1829
24941918-RUTA2-20,45.6368,8.8342
24943036-RUTA2-20,45.6368,8.8342
24943029-RUTA2-20,45.6368,8.8342
100586562,42.616,-7.7633
100578364,40.9515,-5.7291
24943261-RUTA2-20,45.6368,8.8342
24943914-RUTA2-20,45.6368,8.8342
100518540,42.6152,-1.0109
100550689,42.795,-8.5494
24943609-RUTA2-20,45.6368,8.8342
24943200-RUTA2-20,45.6368,8.8342
100516864,41.6322,2.2841
100536380,40.9591,-4.2064
24943588-RUTA2-20,45.6368,8.8342
100538017,28.3454,-16.3728
24946720-RUTA2-20,48.1443,11.7037
24941105-RUTA2-20,51.3737,4.2633
24928453-RUTA2-20,39.5764,2.6542
100568850,41.4629,1.9636
24946960-RUTA2-20,45.6368,8.8342
12395EB,41.6324,-0.7531
24947715-RUTA2-20,51.3737,4.2633
24947714-RUTA2-20,51.3737,4.2633
24947712-RUTA2-20,51.3737,4.2633
100588575,38.3221,-0.7407
100568336,27.8458,-15.4474
100583907,41.9742,-6.9097
100500039,42.9067,-8.5135
10335,41.7902,2.7776
12633,38.6209,-1.1027
100588620,42.5144,-8.8138
100577939,36.929,-3.6277
100574686,37.7052,-1.6187
100546486,38.6627,-27.0948
100001415,28.1559,-15.4142
100527419,37.2248,-3.6314
100555650,42.5516,-2.1728
100588559,40.5435,-3.5678
100572883,38.4846,-0.7709
100537921,28.396,-16.5445
1442,36.1813,-5.4357
24949891-RUTA2-20,45.6368,8.8342
100588537,41.3523,-8.5405
100588634,43.5619,-7.642
100518989,42.6921,-2.9434
100516989,47.739,2.3713
100586915,38.0383,-1.4897
100537451,28.4271,-16.3043
100519502,28.1349,-15.4286
100588654,41.3522,2.0564
100588567,40.5435,-3.5678
12395U,51.1657,10.4515
100566344,28.0994,-15.4746
100544181,37.9599,-1.077
100573426,39.0304,-0.5868
100579450,42.8354,-2.7471
100586370,38.0774,-3.191
100587831,38.7116,-1.0012
100542516,43.5052,-8.1876
100588685,41.0217,0.8776
100543875,43.2752,-8.5815
100533357,28.1329,-15.4393
100574506,40.5087,-3.9156
100531614,38.2421,-1.4217
100588141,39.3583,22.9318
10411Q2,41.3295,2.1235
100583110,40.7546,-3.1762
100566673,36.5907,-6.2301
24956011-RUTA2-20,51.3737,4.2633
1415,28.1563,-15.4109
24951222-RUTA2-20,45.6368,8.8342
24953922-RUTA2-20,49.5384,8.4106
24954087-RUTA2-20,39.5764,2.6542
100585868,43.0293,-7.7914
100588812,38.5245,-7.9479
100539226,42.6964,-1.6374
24955600-RUTA2-20,45.6368,8.8342
24955603-RUTA2-20,45.6368,8.8342
24957021-RUTA2-20,45.6368,8.8342
24956170-RUTA2-20,45.6368,8.8342
100587831,38.716,-0.9673
100547295,28.1565,-15.4158
24956014-RUTA2-20,51.3737,4.2633
100584340,43.3311,-4.0986
100550029,40.9324,-5.465
1415D,28.1563,-15.4109
200105332,28.1276,-15.4247
100587036,38.1262,-3.0637
100586611,40.618,-4.6385
100570029,36.8172,-3.4974
100585356,28.1452,-15.4163
100540039,43.2954,-7.6844
100580829,37.5804,-8.6672
24956716-RUTA2-20,45.6368,8.8342
100578422,28.0101,-16.6483
100539627,38.177,-1.0531
100554214,41.7471,-8.8551
10411C,42.2141,2.5933
100588703,43.1025,-7.6136
100588691,43.4711,-7.2994
100586359,51.2725,9.5139
10,38.6101,-0.5848
100588680,43.2975,-8.2676
100585707,47.6932,-0.8534
100574457,41.9545,2.2765
100541201,41.2956,-8.7206
100546277,38.5247,-8.8942
24957349-RUTA2-20,45.6368,8.8342
100581464,41.3189,-4.9131
100584235,39.6097,-8.6843
100563192,39.6179,-8.8366
100579041,52.132,4.6173
100564818,36.1756,-5.4355
100540164,39.7017,-8.9507
100589031,38.7934,-0.3331
200107226,28.1093,-15.457
200106996,27.8585,-15.3944
100579302,42.8476,-2.5067
100570530,28.4754,-16.4164
100572384,28.0994,-15.4746
100586720,43.6326,1.4224
10411SOP,41.4387,2.0126
100525619,28.9718,-13.5642
100589026,41.4929,-2.2197
100563426,36.9589,-5.8001
100574765,39.3874,-3.2158
100587675,28.0432,-15.4976
100588645,38.7539,0.1078
30109,38.6125,-0.5885
24966724-RUTA2-20,51.3737,4.2633
24966723-RUTA2-20,51.3737,4.2633
24966722-RUTA2-20,51.3737,4.2633
C110205,41.6614,1.8601
30536,39.4519,-0.4684
100548154,40.4117,-3.5825
100521564,39.4682,-0.4653
24959695-RUTA2-20,45.6368,8.8342
24960278-RUTA2-20,45.6368,8.8342
24960904-RUTA2-20,45.6368,8.8342
24965775-RUTA2-20,51.2693,4.3722
24965354-RUTA2-20,39.5764,2.6542
100587036,38.1282,-3.065
24965710-RUTA2-20,48.1443,11.7037
24960014-RUTA2-20,45.6368,8.8342
100546556,43.1112,-9.0329
100580311,38.8591,-7.0298
24965499-RUTA2-20,48.2262,16.3823
100588950,28.0932,-17.1147
100585364,28.1007,-15.4373
100581147,40.5211,-5.671
100586387,37.6797,-5.7679
100585388,43.0293,-7.7914
100586116,41.6552,2.3526
24965258-RUTA2-20,39.5764,2.6542
24965612-RUTA2-20,39.5764,2.6542
100588106,41.0679,1.0393
24966020-RUTA2-20,51.2838,4.38
24965339-RUTA2-20,51.2838,4.38
100551634,40.7544,-4.4206
100533202,28.5042,-13.8458
100573137,28.0522,-16.6404
20900B,40.6163,-3.2818
100589169,39.8173,-5.7991
100589159,41.404,1.0435
100587441,47.8096,-3.3461
100515851,42.2628,2.9808
100585225,42.5913,-3.768
100564932,41.3189,-7.1575
100588113,40.3689,-1.145
100587138,40.9686,-8.5869
24965656-RUTA2-20,39.5764,2.6542
24966129-RUTA2-20,39.5764,2.6542
100572545,28.1013,-15.4471
100582991,41.6395,-8.7687
100580844,40.4367,-6.0354
100581875,43.3601,-4.0848
100586829,40.7565,-7.0182
100588715,43.4626,-7.7276
100579257,43.3677,-5.7616
C15205,41.1626,1.1689
100555626,39.0054,-8.9522
100589025,43.0117,-7.5572
100568154,43.2294,-8.358
24961890-RUTA2-20,45.6368,8.8342
24966657-RUTA2-20,45.6368,8.8342
24966222-RUTA2-20,45.6368,8.8342
24966973-RUTA2-20,45.6368,8.8342
24967372-RUTA2-20,45.6368,8.8342
24968673-RUTA2-20,45.6368,8.8342
24967706-RUTA2-20,49.5384,8.4106
24967715-RUTA2-20,45.6368,8.8342
24968096-RUTA2-20,45.6368,8.8342
24965264-RUTA2-20,51.2693,4.3722
24969340-RUTA2-20,48.2262,16.3823
100533144,39.5716,-3.8602
100546571,42.1159,-4.494
24966597-RUTA2-20,39.5764,2.6542
83924_01DE,45.2526,4.2503
100500279,40.2459,-3.6865
100518226,35.2913,-2.9451
100589043,36.947,-2.4414
100570901,37.2375,-4.5472
100588391,42.8833,-8.5333
100547384,53.5899,-2.2262
100537714,43.2353,-2.8913
100519450,37.2539,-6.9596
12638,38.2433,-0.7074
100587531,28.3421,-16.3799
100518555,41.656,-0.878
24972779-RUTA2-20,45.6368,8.8342
24972367-RUTA2-20,48.2262,16.3823
24972400-RUTA2-20,45.6368,8.8342
