CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
100515896,37.9874,-0.6774
C16205,41.1653,1.1774
100582010,38.8464,-0.6478
24818449-RUTA2-20,45.6368,8.8342
24825412-RUTA2-20,49.5384,8.4106
100539226,42.6675,-1.665
100578295,38.3356,-0.4923
24820870-RUTA2-20,45.6368,8.8342
24822611-RUTA2-20,45.6368,8.8342
1001,42.0048,-4.5426
24823459-RUTA2-20,48.2262,16.3823
24824753-RUTA2-20,45.6368,8.8342
100001211,40.1722,-3.6667
100559805,38.8917,-6.6214
1214,40.6099,-7.7275
100570613,39.0572,-0.5493
100580975,37.2039,-3.652
100568430,37.7222,-3.9672
100583085,39.2661,-8.5535
100001448,36.1443,-5.3657
100540801,39.4586,-8.2518
100563295,41.6105,0.6707
100521616,37.6168,-0.8801
100559459,39.2483,-9.1144
100581394,37.8499,-0.7982
100580708,37.7705,-1.2179
100564918,41.9049,2.804
24824605-RUTA2-20,45.6368,8.8342
24824617-RUTA2-20,45.6368,8.8342
100579880,38.0479,-1.9616
24823963-RUTA2-20,45.6368,8.8342
24823135-RUTA2-20,45.6368,8.8342
24818450-RUTA2-20,45.6368,8.8342
1005,43.1239,-7.6322
100580018,39.3746,-0.4037
100575525,40.9278,-4.0725
100521564,39.4666,-0.4669
100571344,40.3689,-1.145
100520103,37.1939,-1.9157
100516276,43.1438,-2.9411
100546449,41.7667,-8.5948
24823604-RUTA2-20,45.6368,8.8342
24825992-RUTA2-20,45.6368,8.8342
24825881-RUTA2-20,45.6368,8.8342
24825983-RUTA2-20,45.6368,8.8342
100000004,37.5766,-0.9214
100000006,41.1849,1.21
100544701,37.4922,-4.5019
100552407,40.0458,-3.3623
C01205,40.3227,-3.8644
30112,39.5382,-0.3707
C110205,41.666,1.8561
100544598,39.0561,-9.0062
100524716,37.846,-0.8048
100544188,38.7076,-9.2774
C106205,41.2122,1.2047
C16205,41.1641,1.1711
24824627-RUTA2-20,45.6368,8.8342
24826315-RUTA2-20,45.6368,8.8342
100563376,41.4682,1.9561
100573428,38.1776,-1.0499
28,41.3587,1.732
100537223,40.7372,-4.4683
106,41.2122,1.2047
100570043,37.0048,-4.328
200101131,36.1408,-5.4562
100565853,40.3836,-8.326
100515794,41.8816,-0.7628
24831208-RUTA2-20,45.6368,8.8342
100526235,40.4441,-3.4857
100544565,41.197,-8.3095
100560816,38.0382,-1.1903
1217,42.429,-2.2743
100585496,37.3634,-2.2411
100540890,40.5707,-7.2071
24831194-RUTA2-20,45.6368,8.8342
24828538-RUTA2-20,48.2262,16.3823
100544566,41.172,-8.5134
100522538,37.401,-5.9664
100585402,37.2166,-1.9337
24826307-RUTA2-20,45.6368,8.8342
24825491-RUTA2-20,45.6368,8.8342
24824985-RUTA2-20,45.6368,8.8342
24829229-RUTA2-20,45.6368,8.8342
24825095-RUTA2-20,48.1443,11.7037
100562782,38.8028,-9.1393
100543111,41.573,2.245
100000028,41.1045,1.212
200103311,43.5545,-5.6997
100544568,39.6405,-8.7872
100585456,38.1813,-1.127
24825373-RUTA2-20,45.6368,8.8342
24827072-RUTA2-20,45.6368,8.8342
C37205,41.2063,1.2426
100500152,37.2209,-6.9487
1200,38.8261,-0.5545
100548197,43.2558,-2.4111
100000007,43.3502,-8.4399
100569811,39.6707,-8.8334
100585357,37.7706,-1.2181
100578064,41.5227,2.4279
100583056,45.8012,4.7643
100575495,43.126,5.9219
1200,38.823,-0.5494
100565540,40.1725,-3.6685
24828330-RUTA2-20,45.6368,8.8342
24827572-RUTA2-20,45.6368,8.8342
24827948-RUTA2-20,45.6368,8.8342
24829998-RUTA2-20,45.6368,8.8342
24829840-RUTA2-20,45.6368,8.8342
24831101-RUTA2-20,45.6368,8.8342
24831113-RUTA2-20,45.6368,8.8342
24828834-RUTA2-20,45.6368,8.8342
10113,41.3104,1.6553
100532702,43.3238,-3.1277
100520418,43.2556,-8.5605
100584126,38.204,-1.0424
100584322,39.0122,-0.567
100532671,41.1729,1.2279
100573942,37.8723,-6.7875
100001001,42.0048,-4.5426
100583029,43.5654,3.8765
100001426,39.4809,-0.5702
12510A,41.215,1.1516
100531820,41.7115,1.8449
100001200,38.823,-0.5494
100547806,40.3719,-3.7262
